po_id,warehouse_id,store_id,transfer_date,receive_date,qty
PO-0105,WH-0001,STORE-0008,2023-04-18,2023-04-18,158
PO-0106,WH-0003,STORE-0007,2024-05-05,2024-05-05,56
PO-0106,WH-0003,STORE-0003,2024-05-07,2024-05-07,31
PO-0106,WH-0003,STORE-0002,2024-05-07,2024-05-09,10
PO-0107,WH-0003,STORE-0008,2024-02-03,2024-02-05,80
PO-0108,WH-0003,STORE-0003,2024-08-06,2024-08-08,260
PO-0109,WH-0001,STORE-0007,2024-03-25,2024-03-27,319
PO-0109,WH-0001,STORE-0008,2024-03-26,2024-03-28,38
PO-0110,WH-0001,STORE-0006,2024-08-26,2024-08-26,206
PO-0110,WH-0001,STORE-0010,2024-08-27,2024-08-27,118
PO-0110,WH-0001,STORE-0004,2024-08-30,2024-09-01,62
PO-0111,WH-0001,STORE-0006,2024-01-07,2024-01-07,305
PO-0111,WH-0001,STORE-0010,2024-01-07,2024-01-08,135
PO-0112,WH-0003,STORE-0008,2024-03-28,2024-03-30,364
PO-0113,WH-0003,STORE-0009,2023-02-10,2023-02-11,64
PO-0114,WH-0003,STORE-0010,2023-11-21,2023-11-21,76
PO-0114,WH-0003,STORE-0002,2023-11-22,2023-11-24,40
PO-0114,WH-0003,STORE-0010,2023-11-24,2023-11-24,26
PO-0115,WH-0001,STORE-0008,2024-02-19,2024-02-21,70
PO-0115,WH-0001,STORE-0006,2024-02-22,2024-02-23,14
PO-0115,WH-0001,STORE-0005,2024-02-24,2024-02-25,12
PO-0116,WH-0003,STORE-0010,2024-02-01,2024-02-03,130
PO-0117,WH-0001,STORE-0001,2023-12-16,2023-12-18,43
PO-0117,WH-0001,STORE-0003,2023-12-19,2023-12-21,28
PO-0117,WH-0001,STORE-0005,2023-12-19,2023-12-21,22
PO-0118,WH-0002,STORE-0003,2023-06-27,2023-06-29,52
PO-0118,WH-0002,STORE-0005,2023-06-27,2023-06-28,343
PO-0119,WH-0003,STORE-0005,2024-03-21,2024-03-21,80
PO-0119,WH-0003,STORE-0003,2024-03-21,2024-03-23,164
PO-0119,WH-0003,STORE-0008,2024-03-22,2024-03-23,18
PO-0120,WH-0003,STORE-0008,2023-05-07,2023-05-07,70
PO-0120,WH-0003,STORE-0006,2023-05-07,2023-05-07,125
PO-0121,WH-0003,STORE-0008,2024-05-24,2024-05-25,63
PO-0121,WH-0003,STORE-0008,2024-05-27,2024-05-29,10
PO-0122,WH-0002,STORE-0006,2023-03-03,2023-03-03,158
PO-0123,WH-0001,STORE-0003,2023-11-01,2023-11-02,304
PO-0124,WH-0003,STORE-0009,2023-05-23,2023-05-23,253
PO-0124,WH-0003,STORE-0007,2023-05-26,2023-05-27,53
PO-0125,WH-0001,STORE-0007,2024-01-04,2024-01-04,273
PO-0126,WH-0002,STORE-0006,2023-11-30,2023-12-02,183
PO-0126,WH-0002,STORE-0002,2023-11-30,2023-12-02,74
PO-0127,WH-0003,STORE-0005,2023-10-30,2023-10-31,176
PO-0127,WH-0003,STORE-0005,2023-11-01,2023-11-01,40
PO-0128,WH-0001,STORE-0008,2024-05-02,2024-05-04,60
PO-0128,WH-0001,STORE-0009,2024-05-03,2024-05-04,16
PO-0128,WH-0001,STORE-0006,2024-05-04,2024-05-06,19
PO-0129,WH-0002,STORE-0001,2023-09-16,2023-09-17,44
PO-0129,WH-0002,STORE-0002,2023-09-16,2023-09-18,144
PO-0129,WH-0002,STORE-0006,2023-09-19,2023-09-19,130
PO-0130,WH-0001,STORE-0001,2023-12-20,2023-12-22,14
PO-0130,WH-0001,STORE-0001,2023-12-20,2023-12-22,75
PO-0131,WH-0003,STORE-0002,2024-07-10,2024-07-10,41
PO-0131,WH-0003,STORE-0010,2024-07-11,2024-07-11,106
PO-0131,WH-0003,STORE-0003,2024-07-11,2024-07-12,82
PO-0132,WH-0003,STORE-0008,2023-06-09,2023-06-10,29
PO-0132,WH-0003,STORE-0006,2023-06-12,2023-06-13,152
PO-0133,WH-0003,STORE-0001,2023-06-22,2023-06-23,140
PO-0134,WH-0003,STORE-0005,2024-05-30,2024-05-30,142
PO-0134,WH-0003,STORE-0002,2024-06-02,2024-06-03,297
PO-0135,WH-0003,STORE-0008,2024-08-15,2024-08-15,55
PO-0135,WH-0003,STORE-0007,2024-08-16,2024-08-16,148
PO-0135,WH-0003,STORE-0008,2024-08-16,2024-08-18,12
PO-0136,WH-0002,STORE-0002,2023-11-25,2023-11-25,290
PO-0137,WH-0002,STORE-0003,2023-10-21,2023-10-23,264
PO-0137,WH-0002,STORE-0001,2023-10-21,2023-10-23,45
PO-0138,WH-0003,STORE-0006,2024-04-10,2024-04-11,368
PO-0138,WH-0003,STORE-0009,2024-04-10,2024-04-12,107
PO-0139,WH-0003,STORE-0002,2023-04-16,2023-04-18,113
PO-0139,WH-0003,STORE-0001,2023-04-17,2023-04-18,133
PO-0140,WH-0003,STORE-0009,2023-02-24,2023-02-25,383
PO-0141,WH-0002,STORE-0001,2024-05-14,2024-05-16,215
PO-0141,WH-0002,STORE-0009,2024-05-14,2024-05-15,33
PO-0141,WH-0002,STORE-0008,2024-05-14,2024-05-15,32
PO-0142,WH-0002,STORE-0001,2023-04-10,2023-04-11,70
PO-0143,WH-0002,STORE-0002,2024-04-07,2024-04-09,59
PO-0143,WH-0002,STORE-0008,2024-04-09,2024-04-09,72
PO-0144,WH-0003,STORE-0001,2024-02-10,2024-02-10,81
PO-0144,WH-0003,STORE-0008,2024-02-10,2024-02-11,132
PO-0144,WH-0003,STORE-0009,2024-02-10,2024-02-12,184
PO-0145,WH-0002,STORE-0001,2023-12-15,2023-12-15,240
PO-0145,WH-0002,STORE-0001,2023-12-17,2023-12-18,95
PO-0146,WH-0001,STORE-0009,2023-09-30,2023-10-01,118
PO-0146,WH-0001,STORE-0010,2023-10-01,2023-10-01,379
PO-0147,WH-0003,STORE-0003,2024-09-03,2024-09-04,208
PO-0148,WH-0003,STORE-0004,2024-02-13,2024-02-15,21
PO-0148,WH-0003,STORE-0001,2024-02-14,2024-02-14,187
PO-0149,WH-0002,STORE-0010,2023-12-08,2023-12-08,68
PO-0149,WH-0002,STORE-0002,2023-12-08,2023-12-08,29
PO-0150,WH-0001,STORE-0002,2024-06-14,2024-06-14,66
PO-0150,WH-0001,STORE-0007,2024-06-17,2024-06-18,53
PO-0150,WH-0001,STORE-0010,2024-06-17,2024-06-19,89
PO-0151,WH-0001,STORE-0010,2023-12-31,2023-12-31,21
PO-0151,WH-0001,STORE-0002,2024-01-02,2024-01-02,144
PO-0152,WH-0003,STORE-0003,2023-03-29,2023-03-31,309
PO-0153,WH-0001,STORE-0004,2024-06-26,2024-06-28,234
PO-0153,WH-0001,STORE-0002,2024-06-26,2024-06-28,44
PO-0153,WH-0001,STORE-0003,2024-06-29,2024-06-29,220
PO-0154,WH-0003,STORE-0001,2024-01-26,2024-01-26,475
PO-0155,WH-0003,STORE-0005,2023-07-05,2023-07-06,161
PO-0155,WH-0003,STORE-0004,2023-07-08,2023-07-08,26
PO-0155,WH-0003,STORE-0009,2023-07-10,2023-07-11,73
PO-0156,WH-0002,STORE-0010,2023-09-11,2023-09-13,435
PO-0157,WH-0001,STORE-0008,2023-09-08,2023-09-10,377
PO-0157,WH-0001,STORE-0006,2023-09-08,2023-09-09,48
PO-0157,WH-0001,STORE-0009,2023-09-08,2023-09-08,39
PO-0158,WH-0002,STORE-0002,2024-01-27,2024-01-29,286
PO-0159,WH-0003,STORE-0008,2024-06-11,2024-06-13,122
PO-0159,WH-0003,STORE-0001,2024-06-12,2024-06-12,151
PO-0159,WH-0003,STORE-0003,2024-06-12,2024-06-14,195
PO-0160,WH-0001,STORE-0001,2023-05-29,2023-05-29,91
PO-0160,WH-0001,STORE-0005,2023-05-31,2023-05-31,406
PO-0161,WH-0002,STORE-0008,2024-06-17,2024-06-17,325
PO-0161,WH-0002,STORE-0001,2024-06-17,2024-06-19,115
PO-0162,WH-0001,STORE-0008,2024-06-14,2024-06-16,96
PO-0163,WH-0003,STORE-0008,2024-04-14,2024-04-16,262
PO-0164,WH-0002,STORE-0006,2024-01-24,2024-01-24,201
PO-0164,WH-0002,STORE-0006,2024-01-24,2024-01-24,40
PO-0165,WH-0001,STORE-0007,2023-04-28,2023-04-28,455
PO-0166,WH-0002,STORE-0008,2023-10-31,2023-11-02,438
PO-0167,WH-0003,STORE-0003,2023-01-11,2023-01-11,160
PO-0168,WH-0001,STORE-0006,2024-07-04,2024-07-04,171
PO-0169,WH-0002,STORE-0005,2023-09-11,2023-09-11,193
PO-0169,WH-0002,STORE-0001,2023-09-13,2023-09-15,26
PO-0169,WH-0002,STORE-0005,2023-09-13,2023-09-13,65
PO-0170,WH-0001,STORE-0003,2024-07-06,2024-07-07,224
PO-0170,WH-0001,STORE-0005,2024-07-07,2024-07-09,120
PO-0171,WH-0002,STORE-0010,2023-11-06,2023-11-08,53
PO-0171,WH-0002,STORE-0007,2023-11-07,2023-11-09,32
PO-0171,WH-0002,STORE-0004,2023-11-10,2023-11-12,145
PO-0172,WH-0001,STORE-0007,2023-07-25,2023-07-27,17
PO-0172,WH-0001,STORE-0004,2023-07-26,2023-07-27,301
PO-0173,WH-0002,STORE-0003,2024-07-03,2024-07-05,312
PO-0173,WH-0002,STORE-0001,2024-07-03,2024-07-03,11
PO-0173,WH-0002,STORE-0009,2024-07-06,2024-07-06,10
PO-0174,WH-0002,STORE-0002,2023-02-28,2023-03-01,132
PO-0174,WH-0002,STORE-0002,2023-03-03,2023-03-05,17
PO-0174,WH-0002,STORE-0007,2023-03-03,2023-03-03,30
PO-0175,WH-0002,STORE-0002,2023-03-20,2023-03-20,132
PO-0175,WH-0002,STORE-0005,2023-03-23,2023-03-23,313
PO-0176,WH-0001,STORE-0001,2023-05-22,2023-05-23,159
PO-0176,WH-0001,STORE-0007,2023-05-25,2023-05-25,18
PO-0176,WH-0001,STORE-0008,2023-05-27,2023-05-29,46
PO-0177,WH-0003,STORE-0006,2024-05-04,2024-05-06,207
PO-0177,WH-0003,STORE-0007,2024-05-04,2024-05-05,85
PO-0177,WH-0003,STORE-0002,2024-05-05,2024-05-07,173
PO-0178,WH-0001,STORE-0006,2024-04-16,2024-04-16,42
PO-0178,WH-0001,STORE-0006,2024-04-16,2024-04-17,16
PO-0178,WH-0001,STORE-0006,2024-04-16,2024-04-17,14
PO-0179,WH-0002,STORE-0002,2023-11-29,2023-12-01,370
PO-0179,WH-0002,STORE-0006,2023-11-30,2023-11-30,27
PO-0179,WH-0002,STORE-0008,2023-11-30,2023-12-02,70
PO-0180,WH-0001,STORE-0006,2023-02-22,2023-02-23,92
PO-0180,WH-0001,STORE-0001,2023-02-25,2023-02-25,45
PO-0180,WH-0001,STORE-0006,2023-02-27,2023-02-28,59
PO-0181,WH-0003,STORE-0002,2023-12-15,2023-12-16,222
PO-0181,WH-0003,STORE-0010,2023-12-17,2023-12-18,38
PO-0181,WH-0003,STORE-0004,2023-12-17,2023-12-18,13
PO-0182,WH-0002,STORE-0003,2024-04-05,2024-04-06,304
PO-0183,WH-0002,STORE-0005,2024-06-22,2024-06-22,422
PO-0184,WH-0003,STORE-0009,2023-07-15,2023-07-17,36
PO-0184,WH-0003,STORE-0005,2023-07-15,2023-07-16,66
PO-0185,WH-0003,STORE-0008,2023-11-07,2023-11-09,225
PO-0185,WH-0003,STORE-0005,2023-11-07,2023-11-07,192
PO-0186,WH-0002,STORE-0009,2024-04-07,2024-04-09,422
PO-0187,WH-0002,STORE-0006,2024-03-30,2024-03-31,53
PO-0187,WH-0002,STORE-0008,2024-04-02,2024-04-03,35
PO-0188,WH-0003,STORE-0004,2024-01-19,2024-01-20,26
PO-0188,WH-0003,STORE-0005,2024-01-21,2024-01-21,39
PO-0189,WH-0002,STORE-0003,2024-03-28,2024-03-30,126
PO-0189,WH-0002,STORE-0009,2024-03-29,2024-03-30,44
PO-0190,WH-0002,STORE-0003,2024-01-17,2024-01-17,359
PO-0191,WH-0002,STORE-0006,2024-01-23,2024-01-25,343
PO-0192,WH-0001,STORE-0003,2024-02-21,2024-02-21,104
PO-0192,WH-0001,STORE-0006,2024-02-21,2024-02-22,73
PO-0193,WH-0002,STORE-0003,2023-07-21,2023-07-23,286
PO-0193,WH-0002,STORE-0002,2023-07-23,2023-07-23,51
PO-0194,WH-0002,STORE-0006,2024-04-07,2024-04-07,244
PO-0194,WH-0002,STORE-0009,2024-04-07,2024-04-09,161
PO-0195,WH-0003,STORE-0008,2023-07-30,2023-07-31,161
PO-0195,WH-0003,STORE-0008,2023-07-31,2023-08-01,82
PO-0195,WH-0003,STORE-0008,2023-07-31,2023-07-31,38
PO-0196,WH-0001,STORE-0005,2024-04-06,2024-04-06,69
PO-0196,WH-0001,STORE-0008,2024-04-09,2024-04-10,122
PO-0196,WH-0001,STORE-0006,2024-04-09,2024-04-09,200
PO-0197,WH-0003,STORE-0005,2024-07-30,2024-07-30,123
PO-0197,WH-0003,STORE-0009,2024-07-30,2024-07-31,52
PO-0197,WH-0003,STORE-0009,2024-07-30,2024-07-31,310
PO-0198,WH-0001,STORE-0001,2023-07-14,2023-07-16,140
PO-0198,WH-0001,STORE-0007,2023-07-16,2023-07-16,24
PO-0199,WH-0003,STORE-0001,2023-05-30,2023-05-31,33
PO-0199,WH-0003,STORE-0006,2023-06-01,2023-06-02,30
PO-0200,WH-0001,STORE-0008,2024-01-23,2024-01-25,37
PO-0200,WH-0001,STORE-0008,2024-01-26,2024-01-27,61
PO-0200,WH-0001,STORE-0007,2024-01-27,2024-01-29,18
PO-0201,WH-0002,STORE-0010,2023-03-18,2023-03-18,319
PO-0202,WH-0002,STORE-0008,2024-08-16,2024-08-18,378
PO-0203,WH-0001,STORE-0007,2024-06-23,2024-06-23,377
PO-0204,WH-0001,STORE-0007,2024-04-01,2024-04-01,149
PO-0204,WH-0001,STORE-0010,2024-04-04,2024-04-04,326
