po_id,product_id,store_id,expire_date,expired_qty,cost_per_unit,loss_value_thb,reason
PO-0058,SKU-0069,STORE-0010,2023-04-07,4,44.06,176.24,no_markdown_applied
PO-0059,SKU-0080,STORE-0009,2024-05-31,4,45.41,181.64,late_markdown
PO-0060,SKU-0012,STORE-0009,2024-10-26,6,57.37,344.22,late_markdown
PO-0061,SKU-0039,STORE-0010,2024-04-21,6,6.17,37.02,no_markdown_applied
PO-0062,SKU-0056,STORE-0010,2024-01-03,1,11.53,11.53,demand_lower_than_expected
PO-0063,SKU-0024,STORE-0007,2025-08-14,1,21.74,21.74,late_markdown
PO-0064,SKU-0031,STORE-0001,2024-08-05,36,62.19,2238.84,demand_lower_than_expected
PO-0065,SKU-0033,STORE-0007,2023-09-18,1,16.23,16.23,no_markdown_applied
PO-0066,SKU-0070,STORE-0006,2024-05-04,5,41.43,207.15,late_markdown
PO-0067,SKU-0033,STORE-0008,2023-11-29,3,21.4,64.2,late_markdown
PO-0068,SKU-0031,STORE-0008,2024-08-05,16,53.76,860.16,late_markdown
PO-0069,SKU-0003,STORE-0010,2024-11-11,4,50.25,201.0,demand_lower_than_expected
PO-0070,SKU-0007,STORE-0007,2024-01-20,6,11.14,66.84,demand_lower_than_expected
PO-0071,SKU-0046,STORE-0006,2023-09-11,6,19.57,117.42,late_markdown
PO-0072,SKU-0018,STORE-0001,2023-10-03,26,37.76,981.76,late_markdown
PO-0073,SKU-0057,STORE-0008,2023-03-18,1,8.17,8.17,late_markdown
PO-0074,SKU-0038,STORE-0002,2023-05-25,2,40.49,80.98,late_markdown
PO-0075,SKU-0070,STORE-0007,2023-08-05,29,63.64,1845.56,demand_lower_than_expected
PO-0076,SKU-0022,STORE-0004,2024-06-17,14,5.66,79.24,late_markdown
PO-0077,SKU-0044,STORE-0004,2024-11-11,11,42.45,466.95,no_markdown_applied
PO-0078,SKU-0051,STORE-0004,2023-12-05,52,11.42,593.84,no_markdown_applied
PO-0079,SKU-0002,STORE-0007,2023-05-17,7,13.35,93.45,late_markdown
PO-0080,SKU-0034,STORE-0001,2025-01-24,3,9.41,28.23,demand_lower_than_expected
PO-0081,SKU-0030,STORE-0010,2024-02-02,7,10.16,71.12,demand_lower_than_expected
PO-0082,SKU-0009,STORE-0005,2023-12-27,38,53.93,2049.34,demand_lower_than_expected
PO-0083,SKU-0015,STORE-0008,2023-11-25,2,20.16,40.32,demand_lower_than_expected
PO-0084,SKU-0013,STORE-0002,2023-12-01,11,55.34,608.74,demand_lower_than_expected
PO-0085,SKU-0070,STORE-0002,2024-02-18,14,54.14,757.96,late_markdown
PO-0086,SKU-0013,STORE-0007,2023-06-30,30,46.49,1394.7,late_markdown
PO-0087,SKU-0048,STORE-0006,2023-12-15,3,12.77,38.31,late_markdown
PO-0088,SKU-0048,STORE-0005,2024-03-10,9,15.64,140.76,late_markdown
PO-0089,SKU-0036,STORE-0004,2024-02-04,5,22.47,112.35,no_markdown_applied
PO-0091,SKU-0073,STORE-0005,2023-09-25,7,6.26,43.82,demand_lower_than_expected
PO-0092,SKU-0030,STORE-0006,2023-08-26,5,14.84,74.2,demand_lower_than_expected
PO-0093,SKU-0019,STORE-0001,2023-02-08,3,26.22,78.66,demand_lower_than_expected
PO-0094,SKU-0004,STORE-0005,2023-05-12,4,14.13,56.52,demand_lower_than_expected
PO-0095,SKU-0034,STORE-0002,2024-11-29,1,8.2,8.2,late_markdown
PO-0096,SKU-0009,STORE-0001,2024-07-09,18,45.57,820.26,no_markdown_applied
PO-0097,SKU-0058,STORE-0010,2024-07-04,14,22.31,312.34,late_markdown
PO-0098,SKU-0067,STORE-0006,2023-03-29,10,12.86,128.6,no_markdown_applied
PO-0099,SKU-0052,STORE-0001,2023-04-12,1,5.14,5.14,late_markdown
PO-0100,SKU-0011,STORE-0006,2024-06-01,5,13.8,69.0,late_markdown
PO-0101,SKU-0075,STORE-0004,2023-07-15,5,51.45,257.25,late_markdown
PO-0102,SKU-0065,STORE-0010,2024-07-17,29,7.61,220.69,late_markdown
PO-0103,SKU-0071,STORE-0005,2023-05-24,8,54.86,438.88,demand_lower_than_expected
PO-0104,SKU-0044,STORE-0006,2025-04-12,8,50.82,406.56,late_markdown
PO-0105,SKU-0041,STORE-0010,2023-06-14,3,45.91,137.73,demand_lower_than_expected
PO-0106,SKU-0011,STORE-0007,2024-07-02,4,12.7,50.8,no_markdown_applied
PO-0108,SKU-0016,STORE-0010,2025-02-01,9,17.09,153.81,no_markdown_applied
PO-0109,SKU-0037,STORE-0004,2024-04-21,9,47.33,425.97,late_markdown
PO-0110,SKU-0020,STORE-0002,2024-08-31,4,7.81,31.24,no_markdown_applied
PO-0111,SKU-0015,STORE-0007,2024-01-11,11,23.01,253.11,late_markdown
PO-0112,SKU-0080,STORE-0008,2024-04-01,37,56.31,2083.47,demand_lower_than_expected
PO-0114,SKU-0001,STORE-0009,2024-01-19,3,42.61,127.83,late_markdown
PO-0115,SKU-0004,STORE-0001,2024-02-25,5,20.53,102.65,late_markdown
PO-0116,SKU-0044,STORE-0002,2025-01-28,2,48.76,97.52,demand_lower_than_expected
PO-0118,SKU-0007,STORE-0005,2024-06-24,5,7.99,39.95,demand_lower_than_expected
PO-0119,SKU-0057,STORE-0001,2024-04-18,2,7.02,14.04,demand_lower_than_expected
PO-0120,SKU-0015,STORE-0007,2023-05-11,7,27.91,195.37,late_markdown
PO-0121,SKU-0040,STORE-0007,2024-11-19,1,11.38,11.38,no_markdown_applied
PO-0122,SKU-0039,STORE-0006,2024-02-28,9,8.88,79.92,late_markdown
PO-0123,SKU-0001,STORE-0010,2023-12-30,3,40.49,121.47,demand_lower_than_expected
PO-0124,SKU-0030,STORE-0001,2023-06-04,6,13.49,80.94,no_markdown_applied
PO-0125,SKU-0006,STORE-0010,2024-01-08,12,60.3,723.6,late_markdown
PO-0126,SKU-0074,STORE-0001,2023-12-28,3,20.21,60.63,no_markdown_applied
PO-0127,SKU-0003,STORE-0005,2024-10-26,1,39.42,39.42,demand_lower_than_expected
PO-0128,SKU-0047,STORE-0010,2024-05-06,1,7.64,7.64,late_markdown
PO-0129,SKU-0052,STORE-0006,2023-10-15,3,3.78,11.34,no_markdown_applied
PO-0130,SKU-0022,STORE-0006,2024-01-02,6,4.75,28.5,no_markdown_applied
PO-0131,SKU-0045,STORE-0003,2024-08-06,6,86.69,520.14,demand_lower_than_expected
PO-0132,SKU-0019,STORE-0003,2023-07-06,3,22.02,66.06,late_markdown
PO-0133,SKU-0010,STORE-0007,2023-08-19,5,22.32,111.6,no_markdown_applied
PO-0134,SKU-0073,STORE-0003,2024-06-12,34,8.17,277.78,demand_lower_than_expected
PO-0135,SKU-0080,STORE-0001,2024-08-20,22,60.99,1341.78,no_markdown_applied
PO-0136,SKU-0009,STORE-0009,2023-12-08,18,45.44,817.92,demand_lower_than_expected
PO-0137,SKU-0046,STORE-0003,2023-10-27,11,14.65,161.15,late_markdown
PO-0138,SKU-0048,STORE-0010,2024-06-08,12,11.79,141.48,demand_lower_than_expected
PO-0139,SKU-0065,STORE-0002,2023-04-28,19,7.74,147.06,late_markdown
PO-0140,SKU-0074,STORE-0001,2023-03-23,3,15.65,46.95,no_markdown_applied
PO-0141,SKU-0008,STORE-0001,2024-05-19,3,29.39,88.17,no_markdown_applied
PO-0142,SKU-0023,STORE-0003,2023-06-06,6,68.83,412.98,no_markdown_applied
PO-0143,SKU-0079,STORE-0006,2024-06-03,2,4.42,8.84,no_markdown_applied
PO-0144,SKU-0044,STORE-0007,2025-02-08,9,54.4,489.6,demand_lower_than_expected
PO-0145,SKU-0013,STORE-0010,2023-12-26,14,50.69,709.66,no_markdown_applied
PO-0146,SKU-0078,STORE-0004,2023-11-28,34,43.32,1472.88,late_markdown
PO-0147,SKU-0045,STORE-0001,2024-09-30,3,95.65,286.95,no_markdown_applied
PO-0148,SKU-0011,STORE-0001,2024-04-10,6,13.49,80.94,late_markdown
PO-0150,SKU-0047,STORE-0001,2024-06-18,1,6.68,6.68,demand_lower_than_expected
PO-0151,SKU-0025,STORE-0010,2024-06-27,1,64.35,64.35,no_markdown_applied
PO-0152,SKU-0013,STORE-0004,2023-04-10,23,52.75,1213.25,demand_lower_than_expected
PO-0153,SKU-0044,STORE-0001,2025-06-25,11,58.57,644.27,demand_lower_than_expected
PO-0154,SKU-0024,STORE-0006,2025-01-24,3,28.09,84.27,late_markdown
PO-0155,SKU-0006,STORE-0005,2023-07-09,16,73.17,1170.72,demand_lower_than_expected
PO-0156,SKU-0037,STORE-0008,2023-10-10,10,58.13,581.3,demand_lower_than_expected
PO-0157,SKU-0040,STORE-0006,2024-03-05,13,14.9,193.7,demand_lower_than_expected
PO-0158,SKU-0057,STORE-0006,2024-02-23,3,8.89,26.67,demand_lower_than_expected
PO-0159,SKU-0021,STORE-0007,2024-06-22,15,15.75,236.25,no_markdown_applied
PO-0160,SKU-0062,STORE-0002,2023-07-27,17,24.15,410.55,no_markdown_applied
PO-0161,SKU-0011,STORE-0001,2024-08-14,10,11.0,110.0,no_markdown_applied
PO-0163,SKU-0004,STORE-0005,2024-04-20,15,14.47,217.05,no_markdown_applied
PO-0164,SKU-0011,STORE-0001,2024-03-23,7,11.4,79.8,late_markdown
PO-0165,SKU-0043,STORE-0008,2024-04-24,32,65.04,2081.28,no_markdown_applied
PO-0166,SKU-0018,STORE-0006,2023-11-06,26,51.3,1333.8,demand_lower_than_expected
PO-0167,SKU-0033,STORE-0004,2023-01-23,2,21.31,42.62,demand_lower_than_expected
PO-0168,SKU-0037,STORE-0007,2024-08-01,4,47.05,188.2,demand_lower_than_expected
PO-0169,SKU-0080,STORE-0008,2023-09-17,32,41.15,1316.8,no_markdown_applied
PO-0170,SKU-0066,STORE-0004,2024-07-11,2,68.61,137.22,no_markdown_applied
PO-0171,SKU-0079,STORE-0004,2024-01-02,3,4.14,12.42,no_markdown_applied
PO-0172,SKU-0011,STORE-0009,2023-09-21,9,16.09,144.81,demand_lower_than_expected
PO-0173,SKU-0065,STORE-0008,2024-07-16,38,6.08,231.04,demand_lower_than_expected
PO-0174,SKU-0048,STORE-0008,2023-04-27,4,14.67,58.68,late_markdown
PO-0175,SKU-0014,STORE-0008,2023-04-17,13,10.36,134.68,demand_lower_than_expected
PO-0176,SKU-0070,STORE-0002,2023-05-26,13,59.73,776.49,no_markdown_applied
PO-0177,SKU-0024,STORE-0007,2025-05-03,5,21.25,106.25,demand_lower_than_expected
PO-0178,SKU-0026,STORE-0005,2024-04-22,6,5.38,32.28,demand_lower_than_expected
PO-0179,SKU-0051,STORE-0008,2024-05-24,25,10.18,254.5,late_markdown
PO-0180,SKU-0025,STORE-0005,2023-08-20,2,48.44,96.88,demand_lower_than_expected
PO-0181,SKU-0048,STORE-0007,2024-02-10,4,15.56,62.24,demand_lower_than_expected
PO-0182,SKU-0024,STORE-0001,2025-04-03,3,28.08,84.24,late_markdown
PO-0183,SKU-0011,STORE-0005,2024-08-20,11,12.65,139.15,demand_lower_than_expected
PO-0185,SKU-0078,STORE-0001,2024-01-04,20,50.15,1003.0,no_markdown_applied
PO-0186,SKU-0006,STORE-0010,2024-04-13,33,92.01,3036.33,no_markdown_applied
PO-0188,SKU-0021,STORE-0002,2024-02-01,2,15.25,30.5,late_markdown
PO-0189,SKU-0009,STORE-0009,2024-04-09,17,52.92,899.64,demand_lower_than_expected
PO-0190,SKU-0005,STORE-0001,2024-03-14,18,30.25,544.5,demand_lower_than_expected
PO-0191,SKU-0010,STORE-0006,2024-03-22,8,15.2,121.6,no_markdown_applied
PO-0192,SKU-0036,STORE-0003,2024-03-20,7,22.4,156.8,late_markdown
PO-0193,SKU-0050,STORE-0003,2024-07-18,4,38.22,152.88,late_markdown
PO-0194,SKU-0037,STORE-0005,2024-05-06,4,62.28,249.12,no_markdown_applied
PO-0195,SKU-0010,STORE-0008,2023-09-25,4,15.51,62.04,demand_lower_than_expected
PO-0196,SKU-0041,STORE-0005,2024-06-02,2,48.2,96.4,demand_lower_than_expected
PO-0197,SKU-0039,STORE-0002,2025-07-27,39,6.59,257.01,no_markdown_applied
PO-0200,SKU-0071,STORE-0005,2024-02-05,3,49.22,147.66,late_markdown
PO-0201,SKU-0062,STORE-0005,2023-05-14,21,24.63,517.23,no_markdown_applied
PO-0202,SKU-0041,STORE-0003,2024-10-13,4,41.44,165.76,demand_lower_than_expected
PO-0203,SKU-0071,STORE-0007,2024-07-04,5,48.68,243.4,late_markdown
PO-0204,SKU-0008,STORE-0006,2024-04-05,12,29.74,356.88,demand_lower_than_expected
PO-0205,SKU-0042,STORE-0008,2023-11-26,5,6.85,34.25,late_markdown
PO-0206,SKU-0026,STORE-0009,2023-10-28,14,5.75,80.5,no_markdown_applied
PO-0207,SKU-0079,STORE-0006,2023-07-20,5,3.81,19.05,no_markdown_applied
PO-0208,SKU-0020,STORE-0004,2023-07-10,1,8.47,8.47,demand_lower_than_expected
PO-0209,SKU-0004,STORE-0003,2023-12-30,4,14.4,57.6,late_markdown
PO-0210,SKU-0027,STORE-0008,2024-08-26,12,80.91,970.92,demand_lower_than_expected
PO-0211,SKU-0070,STORE-0010,2023-02-17,7,55.49,388.43,late_markdown
PO-0212,SKU-0052,STORE-0003,2024-06-13,2,4.62,9.24,no_markdown_applied
PO-0213,SKU-0054,STORE-0009,2023-05-06,3,7.74,23.22,late_markdown
PO-0214,SKU-0041,STORE-0002,2023-08-03,3,64.05,192.15,no_markdown_applied
PO-0215,SKU-0048,STORE-0002,2024-04-17,6,13.51,81.06,no_markdown_applied
PO-0216,SKU-0035,STORE-0003,2023-11-13,2,31.88,63.76,no_markdown_applied
PO-0217,SKU-0079,STORE-0002,2023-04-28,6,4.16,24.96,no_markdown_applied
PO-0219,SKU-0040,STORE-0003,2024-12-17,7,10.14,70.98,late_markdown
PO-0220,SKU-0028,STORE-0009,2024-07-10,2,9.28,18.56,demand_lower_than_expected
PO-0221,SKU-0061,STORE-0006,2023-12-24,7,13.35,93.45,no_markdown_applied
PO-0222,SKU-0034,STORE-0010,2025-03-21,4,9.34,37.36,no_markdown_applied
PO-0223,SKU-0007,STORE-0003,2025-01-11,9,10.27,92.43,demand_lower_than_expected
PO-0224,SKU-0050,STORE-0002,2025-07-26,8,45.62,364.96,late_markdown
PO-0225,SKU-0079,STORE-0007,2023-12-24,1,3.89,3.89,late_markdown
PO-0226,SKU-0044,STORE-0008,2025-02-14,9,62.84,565.56,demand_lower_than_expected
PO-0227,SKU-0052,STORE-0006,2023-09-02,4,3.69,14.76,no_markdown_applied
PO-0228,SKU-0061,STORE-0004,2023-08-02,12,12.86,154.32,late_markdown
PO-0229,SKU-0079,STORE-0009,2024-08-14,3,3.97,11.91,no_markdown_applied
PO-0230,SKU-0065,STORE-0009,2023-11-28,35,7.91,276.85,demand_lower_than_expected
PO-0231,SKU-0003,STORE-0005,2025-08-05,1,42.97,42.97,late_markdown
PO-0232,SKU-0004,STORE-0004,2024-03-20,22,18.15,399.3,no_markdown_applied
PO-0233,SKU-0007,STORE-0007,2025-08-26,8,9.88,79.04,demand_lower_than_expected
PO-0234,SKU-0032,STORE-0003,2024-03-29,1,10.32,10.32,demand_lower_than_expected
PO-0235,SKU-0057,STORE-0010,2023-05-28,2,7.57,15.14,no_markdown_applied
PO-0236,SKU-0079,STORE-0010,2023-10-04,5,5.56,27.8,demand_lower_than_expected
PO-0237,SKU-0067,STORE-0009,2023-04-17,10,13.51,135.1,no_markdown_applied
PO-0238,SKU-0041,STORE-0001,2024-07-13,1,50.98,50.98,no_markdown_applied
PO-0239,SKU-0034,STORE-0009,2024-12-26,3,9.9,29.7,no_markdown_applied
PO-0240,SKU-0029,STORE-0008,2024-10-22,3,40.9,122.7,no_markdown_applied
PO-0241,SKU-0063,STORE-0010,2023-08-21,18,7.8,140.4,no_markdown_applied
PO-0242,SKU-0074,STORE-0003,2023-11-13,4,18.75,75.0,demand_lower_than_expected
PO-0243,SKU-0019,STORE-0010,2024-02-02,2,20.12,40.24,late_markdown
PO-0244,SKU-0057,STORE-0005,2023-04-28,3,6.96,20.88,no_markdown_applied
PO-0245,SKU-0069,STORE-0001,2023-08-20,7,43.69,305.83,demand_lower_than_expected
PO-0246,SKU-0079,STORE-0001,2023-12-09,7,4.92,34.44,no_markdown_applied
PO-0247,SKU-0068,STORE-0008,2023-05-04,1,49.79,49.79,no_markdown_applied
PO-0248,SKU-0061,STORE-0001,2023-06-20,5,14.26,71.3,late_markdown
PO-0249,SKU-0021,STORE-0010,2023-01-30,6,19.71,118.26,no_markdown_applied
PO-0250,SKU-0037,STORE-0004,2024-06-14,5,46.66,233.3,demand_lower_than_expected
PO-0251,SKU-0030,STORE-0009,2023-04-28,3,14.62,43.86,no_markdown_applied
PO-0252,SKU-0023,STORE-0002,2023-09-05,5,96.74,483.7,no_markdown_applied
PO-0253,SKU-0038,STORE-0008,2024-06-02,14,28.25,395.5,no_markdown_applied
PO-0254,SKU-0043,STORE-0009,2025-08-15,7,76.52,535.64,demand_lower_than_expected
PO-0255,SKU-0018,STORE-0009,2024-07-27,25,46.82,1170.5,late_markdown
PO-0256,SKU-0043,STORE-0002,2024-07-30,4,86.83,347.32,late_markdown
PO-0257,SKU-0002,STORE-0003,2023-11-03,12,12.11,145.32,no_markdown_applied
PO-0258,SKU-0025,STORE-0008,2025-02-12,1,54.72,54.72,no_markdown_applied
PO-0260,SKU-0042,STORE-0006,2023-07-27,2,6.03,12.06,demand_lower_than_expected
PO-0261,SKU-0035,STORE-0009,2023-11-07,1,32.81,32.81,late_markdown
PO-0262,SKU-0047,STORE-0008,2024-08-18,5,6.89,34.45,no_markdown_applied
PO-0263,SKU-0021,STORE-0006,2023-05-25,4,20.0,80.0,late_markdown
PO-0264,SKU-0038,STORE-0003,2023-12-05,3,38.2,114.6,no_markdown_applied
PO-0265,SKU-0059,STORE-0002,2023-06-25,4,31.71,126.84,demand_lower_than_expected
PO-0266,SKU-0061,STORE-0006,2024-05-13,14,13.36,187.04,late_markdown
PO-0267,SKU-0077,STORE-0007,2023-09-02,2,59.09,118.18,demand_lower_than_expected
PO-0269,SKU-0065,STORE-0007,2023-03-29,8,8.15,65.2,late_markdown
PO-0270,SKU-0067,STORE-0008,2023-07-25,10,10.73,107.3,late_markdown
PO-0271,SKU-0066,STORE-0002,2024-09-05,2,89.72,179.44,late_markdown
PO-0272,SKU-0059,STORE-0004,2023-06-25,4,20.31,81.24,no_markdown_applied
PO-0273,SKU-0051,STORE-0007,2024-05-23,20,11.48,229.6,late_markdown
PO-0274,SKU-0006,STORE-0004,2023-08-30,8,72.43,579.44,late_markdown
PO-0275,SKU-0009,STORE-0008,2024-07-24,24,36.31,871.44,no_markdown_applied
PO-0276,SKU-0054,STORE-0009,2023-09-16,1,9.72,9.72,late_markdown
PO-0277,SKU-0011,STORE-0008,2024-06-11,14,16.03,224.42,demand_lower_than_expected
PO-0278,SKU-0045,STORE-0007,2023-06-28,3,66.25,198.75,no_markdown_applied
PO-0279,SKU-0029,STORE-0006,2025-02-16,7,27.66,193.62,late_markdown
PO-0280,SKU-0070,STORE-0001,2023-11-18,17,52.77,897.09,no_markdown_applied
PO-0281,SKU-0020,STORE-0005,2023-09-27,1,6.71,6.71,late_markdown
PO-0282,SKU-0054,STORE-0005,2023-06-27,2,8.87,17.74,late_markdown
PO-0283,SKU-0013,STORE-0009,2023-09-23,21,36.35,763.35,demand_lower_than_expected
PO-0284,SKU-0006,STORE-0005,2023-03-03,12,75.95,911.4,demand_lower_than_expected
PO-0285,SKU-0008,STORE-0005,2023-09-01,3,36.29,108.87,demand_lower_than_expected
PO-0286,SKU-0041,STORE-0007,2023-11-09,5,54.4,272.0,no_markdown_applied
PO-0287,SKU-0019,STORE-0002,2023-12-30,5,25.99,129.95,no_markdown_applied
PO-0288,SKU-0072,STORE-0005,2024-11-09,2,21.7,43.4,late_markdown
PO-0289,SKU-0007,STORE-0004,2025-03-23,3,12.07,36.21,late_markdown
PO-0290,SKU-0041,STORE-0009,2024-04-09,5,49.9,249.5,demand_lower_than_expected
PO-0291,SKU-0069,STORE-0006,2023-11-19,6,31.76,190.56,demand_lower_than_expected
PO-0292,SKU-0060,STORE-0010,2023-12-17,1,80.55,80.55,demand_lower_than_expected
PO-0293,SKU-0050,STORE-0008,2025-08-03,3,41.27,123.81,late_markdown
PO-0294,SKU-0048,STORE-0006,2023-05-30,1,13.35,13.35,late_markdown
PO-0295,SKU-0078,STORE-0003,2023-04-29,22,40.58,892.76,late_markdown
PO-0296,SKU-0076,STORE-0007,2023-08-09,27,84.61,2284.47,no_markdown_applied
PO-0297,SKU-0043,STORE-0004,2025-05-10,13,95.25,1238.25,no_markdown_applied
PO-0298,SKU-0016,STORE-0005,2024-02-06,22,22.75,500.5,no_markdown_applied
PO-0299,SKU-0027,STORE-0003,2023-09-26,11,93.69,1030.59,late_markdown
PO-0300,SKU-0049,STORE-0006,2024-01-09,19,36.81,699.39,no_markdown_applied
PO-0301,SKU-0066,STORE-0009,2023-11-25,4,76.96,307.84,demand_lower_than_expected
PO-0303,SKU-0029,STORE-0003,2024-02-27,5,30.12,150.6,late_markdown
PO-0304,SKU-0054,STORE-0009,2024-09-29,2,6.57,13.14,late_markdown
PO-0305,SKU-0032,STORE-0008,2023-10-31,6,10.22,61.32,late_markdown
PO-0306,SKU-0063,STORE-0004,2023-12-25,29,8.41,243.89,late_markdown
PO-0307,SKU-0046,STORE-0008,2024-04-27,5,15.22,76.1,late_markdown
PO-0308,SKU-0070,STORE-0008,2024-05-26,9,63.29,569.61,no_markdown_applied
PO-0309,SKU-0007,STORE-0004,2024-02-07,11,7.63,83.93,demand_lower_than_expected
PO-0311,SKU-0079,STORE-0009,2024-03-20,6,5.08,30.48,demand_lower_than_expected
PO-0313,SKU-0003,STORE-0007,2024-10-18,2,53.69,107.38,no_markdown_applied
PO-0314,SKU-0023,STORE-0004,2024-05-29,5,93.8,469.0,no_markdown_applied
PO-0315,SKU-0080,STORE-0008,2023-06-14,13,45.85,596.05,demand_lower_than_expected
PO-0316,SKU-0011,STORE-0008,2023-12-14,9,16.0,144.0,late_markdown
PO-0317,SKU-0029,STORE-0005,2025-08-06,5,39.4,197.0,no_markdown_applied
PO-0318,SKU-0049,STORE-0003,2023-03-07,13,37.13,482.69,late_markdown
PO-0319,SKU-0011,STORE-0007,2023-03-24,6,15.28,91.68,late_markdown
PO-0320,SKU-0013,STORE-0007,2023-12-31,19,56.05,1064.95,demand_lower_than_expected
PO-0321,SKU-0073,STORE-0004,2023-09-01,33,7.02,231.66,no_markdown_applied
PO-0322,SKU-0005,STORE-0010,2023-12-24,5,43.62,218.1,demand_lower_than_expected
