promotion_id,product_id,discount,start_date,end_date,budget_thb,cost_per_redemption,channel_cost_thb,target_segment
PROMO-0014,SKU-0057,0.3,2023-12-08,2023-12-15,25000,18.64,5000,regular
PROMO-0014,SKU-0071,0.2,2023-12-08,2023-12-15,25000,6.05,5000,high_value
PROMO-0015,SKU-0014,0.25,2024-01-02,2024-01-09,100000,29.35,2000,regular
PROMO-0015,SKU-0046,0.1,2024-01-02,2024-01-09,25000,27.04,0,regular
PROMO-0016,SKU-0035,0.3,2023-12-07,2023-12-28,10000,14.56,0,new
PROMO-0016,SKU-0021,0.1,2023-12-07,2023-12-28,25000,25.41,10000,occasional
PROMO-0017,SKU-0004,0.2,2023-11-09,2023-11-16,50000,11.97,0,occasional
PROMO-0017,SKU-0025,0.15,2023-11-09,2023-11-16,100000,21.99,5000,high_value
PROMO-0018,SKU-0075,0.05,2023-04-29,2023-05-13,10000,19.91,5000,occasional
PROMO-0018,SKU-0034,0.2,2023-04-29,2023-05-13,10000,14.63,2000,occasional
PROMO-0019,SKU-0067,0.25,2023-02-15,2023-03-08,25000,14.11,0,occasional
PROMO-0020,SKU-0065,0.15,2023-11-18,2023-11-21,100000,22.43,2000,regular
PROMO-0020,SKU-0040,0.2,2023-11-18,2023-11-21,100000,21.93,2000,occasional
PROMO-0020,SKU-0053,0.2,2023-11-18,2023-11-21,10000,12.6,2000,new
PROMO-0021,SKU-0060,0.25,2024-08-16,2024-09-15,100000,24.84,2000,high_value
PROMO-0021,SKU-0057,0.15,2024-08-16,2024-09-15,50000,7.33,2000,occasional
PROMO-0021,SKU-0028,0.1,2024-08-16,2024-09-15,25000,8.68,0,regular
PROMO-0022,SKU-0059,0.2,2024-05-01,2024-05-31,25000,22.96,10000,new
PROMO-0023,SKU-0001,0.2,2024-02-14,2024-02-21,25000,9.4,10000,high_value
PROMO-0023,SKU-0014,0.25,2024-02-14,2024-02-21,25000,27.94,0,new
PROMO-0024,SKU-0072,0.3,2023-05-17,2023-06-07,100000,25.76,10000,regular
PROMO-0024,SKU-0077,0.3,2023-05-17,2023-06-07,100000,16.25,2000,occasional
PROMO-0024,SKU-0041,0.25,2023-05-17,2023-06-07,100000,20.67,5000,new
PROMO-0024,SKU-0057,0.05,2023-05-17,2023-06-07,50000,10.86,5000,occasional
PROMO-0024,SKU-0079,0.25,2023-05-17,2023-06-07,10000,8.46,2000,new
PROMO-0025,SKU-0054,0.2,2023-06-06,2023-06-13,50000,18.57,10000,high_value
PROMO-0026,SKU-0075,0.2,2023-07-31,2023-08-21,10000,28.57,5000,new
PROMO-0026,SKU-0003,0.2,2023-07-31,2023-08-21,25000,17.21,5000,new
PROMO-0026,SKU-0074,0.2,2023-07-31,2023-08-21,10000,14.72,10000,regular
PROMO-0026,SKU-0049,0.2,2023-07-31,2023-08-21,25000,29.52,0,new
PROMO-0027,SKU-0055,0.1,2024-07-31,2024-08-03,100000,9.54,5000,new
PROMO-0028,SKU-0042,0.2,2023-12-02,2023-12-09,50000,25.87,10000,high_value
PROMO-0028,SKU-0044,0.3,2023-12-02,2023-12-09,10000,30.0,5000,regular
PROMO-0028,SKU-0049,0.3,2023-12-02,2023-12-09,10000,24.53,0,high_value
PROMO-0028,SKU-0036,0.1,2023-12-02,2023-12-09,25000,25.98,2000,regular
PROMO-0029,SKU-0073,0.1,2023-05-10,2023-05-31,100000,22.49,5000,regular
PROMO-0030,SKU-0014,0.15,2023-04-28,2023-05-05,100000,14.92,2000,high_value
PROMO-0030,SKU-0075,0.25,2023-04-28,2023-05-05,25000,7.55,5000,high_value
PROMO-0030,SKU-0004,0.25,2023-04-28,2023-05-05,10000,13.68,10000,occasional
