po_id,warehouse_id,product_id,po_date,arrival_date,manufacturing_date,expire_date,qty,unit,po_price_per_unit,po_price_total,lead_time_days
PO-0038,WH-0002,SKU-0064,2023-12-04,2023-12-12,2023-11-11,2023-12-19,197,piece,84.28,16603.16,8
PO-0039,WH-0001,SKU-0012,2024-07-17,2024-07-19,2024-07-02,2025-07-19,211,piece,41.22,8697.42,2
PO-0040,WH-0002,SKU-0001,2024-02-18,2024-02-28,2024-01-22,2024-04-28,386,piece,42.6,16443.6,10
PO-0041,WH-0002,SKU-0067,2024-02-28,2024-03-01,2024-02-21,2024-03-31,235,piece,13.89,3264.15,2
PO-0042,WH-0002,SKU-0027,2024-03-28,2024-04-11,2024-03-26,2024-04-18,186,piece,80.06,14891.16,14
PO-0043,WH-0003,SKU-0016,2024-03-24,2024-04-06,2024-03-08,2024-10-03,64,piece,22.52,1441.28,13
PO-0044,WH-0002,SKU-0040,2023-09-03,2023-09-16,2023-08-28,2024-03-14,332,piece,10.09,3349.88,13
PO-0045,WH-0003,SKU-0015,2023-04-06,2023-04-11,2023-03-10,2023-04-18,286,piece,31.2,8923.2,5
PO-0046,WH-0002,SKU-0038,2023-06-07,2023-06-16,2023-05-08,2023-06-23,310,piece,39.77,12328.7,9
PO-0047,WH-0001,SKU-0059,2024-05-09,2024-05-18,2024-05-01,2024-06-17,332,piece,21.37,7094.84,9
PO-0048,WH-0002,SKU-0018,2024-06-04,2024-06-17,2024-05-06,2024-06-24,492,piece,37.15,18277.8,13
PO-0049,WH-0003,SKU-0035,2023-12-15,2023-12-29,2023-11-28,2024-02-27,470,piece,27.64,12990.8,14
PO-0050,WH-0003,SKU-0063,2023-11-02,2023-11-13,2023-10-14,2023-11-20,493,piece,6.56,3234.08,11
PO-0051,WH-0002,SKU-0071,2024-05-10,2024-05-17,2024-04-29,2024-05-31,440,piece,47.69,20983.6,7
PO-0052,WH-0002,SKU-0031,2023-11-26,2023-12-01,2023-11-03,2024-05-29,342,piece,49.08,16785.36,5
PO-0053,WH-0002,SKU-0061,2023-02-14,2023-02-21,2023-01-21,2023-04-22,411,piece,15.71,6456.81,7
PO-0054,WH-0001,SKU-0020,2024-01-31,2024-02-12,2024-01-05,2024-02-19,303,piece,9.62,2914.86,12
PO-0055,WH-0001,SKU-0013,2024-05-29,2024-06-09,2024-05-18,2024-06-23,497,piece,54.4,27036.8,11
PO-0056,WH-0001,SKU-0019,2024-06-22,2024-07-01,2024-06-21,2024-07-31,259,piece,30.27,7839.93,9
PO-0057,WH-0002,SKU-0034,2023-03-18,2023-03-27,2023-02-20,2024-03-26,223,piece,10.56,2354.88,9
PO-0058,WH-0003,SKU-0069,2023-03-24,2023-03-31,2023-02-24,2023-04-07,244,piece,44.06,10750.64,7
PO-0059,WH-0003,SKU-0080,2024-05-14,2024-05-24,2024-05-12,2024-05-31,85,piece,45.41,3859.85,10
PO-0060,WH-0003,SKU-0012,2023-10-22,2023-10-27,2023-09-28,2024-10-26,272,piece,57.37,15604.64,5
PO-0061,WH-0001,SKU-0039,2023-04-13,2023-04-22,2023-04-07,2024-04-21,64,piece,6.17,394.88,9
PO-0062,WH-0002,SKU-0056,2023-10-28,2023-11-04,2023-10-16,2024-01-03,124,piece,11.53,1429.72,7
PO-0063,WH-0003,SKU-0024,2024-08-02,2024-08-14,2024-07-07,2025-08-14,137,piece,21.74,2978.38,12
PO-0064,WH-0001,SKU-0031,2024-01-27,2024-02-07,2024-01-05,2024-08-05,304,piece,62.19,18905.76,11
PO-0065,WH-0001,SKU-0033,2023-08-26,2023-09-04,2023-08-05,2023-09-18,285,piece,16.23,4625.55,9
PO-0066,WH-0002,SKU-0070,2024-04-21,2024-04-27,2024-03-30,2024-05-04,130,piece,41.43,5385.9,6
PO-0067,WH-0001,SKU-0033,2023-11-03,2023-11-15,2023-10-20,2023-11-29,283,piece,21.4,6056.2,12
PO-0068,WH-0003,SKU-0031,2024-01-29,2024-02-07,2024-01-25,2024-08-05,245,piece,53.76,13171.2,9
PO-0069,WH-0002,SKU-0003,2023-10-30,2023-11-12,2023-10-20,2024-11-11,474,piece,50.25,23818.5,13
PO-0070,WH-0002,SKU-0007,2023-01-09,2023-01-20,2022-12-12,2024-01-20,360,piece,11.14,4010.4,11
PO-0071,WH-0003,SKU-0046,2023-08-24,2023-09-04,2023-07-29,2023-09-11,162,piece,19.57,3170.34,11
PO-0072,WH-0003,SKU-0018,2023-09-14,2023-09-26,2023-08-20,2023-10-03,371,piece,37.76,14008.96,12
PO-0073,WH-0003,SKU-0057,2023-02-10,2023-02-16,2023-01-15,2023-03-18,67,piece,8.17,547.39,6
PO-0074,WH-0001,SKU-0038,2023-05-15,2023-05-18,2023-04-15,2023-05-25,217,piece,40.49,8786.33,3
PO-0075,WH-0003,SKU-0070,2023-07-25,2023-07-29,2023-06-29,2023-08-05,498,piece,63.64,31692.72,4
PO-0076,WH-0002,SKU-0022,2024-05-28,2024-06-03,2024-05-01,2024-06-17,181,piece,5.66,1024.46,6
PO-0077,WH-0001,SKU-0044,2023-10-30,2023-11-12,2023-10-02,2024-11-11,461,piece,42.45,19569.45,13
PO-0078,WH-0002,SKU-0051,2023-05-25,2023-06-08,2023-05-17,2023-12-05,483,piece,11.42,5515.86,14
PO-0079,WH-0002,SKU-0002,2023-04-03,2023-04-17,2023-03-21,2023-05-17,185,piece,13.35,2469.75,14
PO-0080,WH-0003,SKU-0034,2024-01-13,2024-01-25,2023-12-20,2025-01-24,349,piece,9.41,3284.09,12
PO-0081,WH-0003,SKU-0030,2024-01-16,2024-01-19,2023-12-25,2024-02-02,291,piece,10.16,2956.56,3
PO-0082,WH-0003,SKU-0009,2023-12-02,2023-12-13,2023-11-24,2023-12-27,375,piece,53.93,20223.75,11
PO-0083,WH-0001,SKU-0015,2023-11-06,2023-11-18,2023-10-23,2023-11-25,121,piece,20.16,2439.36,12
PO-0084,WH-0001,SKU-0013,2023-11-08,2023-11-17,2023-11-04,2023-12-01,170,piece,55.34,9407.8,9
PO-0085,WH-0003,SKU-0070,2024-02-02,2024-02-11,2024-01-21,2024-02-18,264,piece,54.14,14292.96,9
PO-0086,WH-0002,SKU-0013,2023-06-08,2023-06-16,2023-05-18,2023-06-30,476,piece,46.49,22129.24,8
PO-0087,WH-0001,SKU-0048,2023-10-14,2023-10-16,2023-09-21,2023-12-15,161,piece,12.77,2055.97,2
PO-0088,WH-0003,SKU-0048,2024-01-07,2024-01-10,2023-12-16,2024-03-10,328,piece,15.64,5129.92,3
PO-0089,WH-0002,SKU-0036,2024-01-03,2024-01-05,2023-12-21,2024-02-04,147,piece,22.47,3303.09,2
PO-0090,WH-0002,SKU-0077,2023-04-04,2023-04-16,2023-03-28,2023-04-23,60,piece,40.85,2451.0,12
PO-0091,WH-0003,SKU-0073,2023-09-07,2023-09-11,2023-08-12,2023-09-25,155,piece,6.26,970.3,4
PO-0092,WH-0003,SKU-0030,2023-08-01,2023-08-12,2023-07-25,2023-08-26,218,piece,14.84,3235.12,11
PO-0093,WH-0001,SKU-0019,2023-01-03,2023-01-09,2022-12-06,2023-02-08,116,piece,26.22,3041.52,6
PO-0094,WH-0001,SKU-0004,2023-04-23,2023-05-05,2023-03-26,2023-05-12,117,piece,14.13,1653.21,12
PO-0095,WH-0002,SKU-0034,2023-11-28,2023-11-30,2023-11-22,2024-11-29,76,piece,8.2,623.2,2
PO-0096,WH-0002,SKU-0009,2024-06-22,2024-06-25,2024-05-29,2024-07-09,293,piece,45.57,13352.01,3
PO-0097,WH-0003,SKU-0058,2024-06-09,2024-06-20,2024-06-05,2024-07-04,307,piece,22.31,6849.17,11
PO-0098,WH-0001,SKU-0067,2023-02-14,2023-02-27,2023-01-19,2023-03-29,204,piece,12.86,2623.44,13
PO-0099,WH-0002,SKU-0052,2023-03-04,2023-03-13,2023-02-04,2023-04-12,268,piece,5.14,1377.52,9
PO-0100,WH-0001,SKU-0011,2024-03-30,2024-04-02,2024-03-01,2024-06-01,214,piece,13.8,2953.2,3
PO-0101,WH-0002,SKU-0075,2023-05-10,2023-05-16,2023-04-20,2023-07-15,330,piece,51.45,16978.5,6
PO-0102,WH-0003,SKU-0065,2024-06-27,2024-07-03,2024-06-12,2024-07-17,359,piece,7.61,2731.99,6
PO-0103,WH-0002,SKU-0071,2023-04-28,2023-05-10,2023-04-07,2023-05-24,419,piece,54.86,22986.34,12
PO-0104,WH-0002,SKU-0044,2024-04-07,2024-04-12,2024-03-24,2025-04-12,473,piece,50.82,24037.86,5
PO-0105,WH-0001,SKU-0041,2023-04-08,2023-04-15,2023-03-25,2023-06-14,390,piece,45.91,17904.9,7
PO-0106,WH-0003,SKU-0011,2024-04-30,2024-05-03,2024-04-27,2024-07-02,97,piece,12.7,1231.9,3
PO-0107,WH-0003,SKU-0072,2024-01-17,2024-01-31,2024-01-12,2025-01-30,80,piece,19.13,1530.4,14
PO-0108,WH-0003,SKU-0016,2024-07-29,2024-08-05,2024-07-07,2025-02-01,260,piece,17.09,4443.4,7
PO-0109,WH-0001,SKU-0037,2024-03-09,2024-03-22,2024-03-07,2024-04-21,357,piece,47.33,16896.81,13
PO-0110,WH-0001,SKU-0020,2024-08-14,2024-08-24,2024-08-07,2024-08-31,386,piece,7.81,3014.66,10
PO-0111,WH-0001,SKU-0015,2023-12-25,2024-01-04,2023-12-13,2024-01-11,440,piece,23.01,10124.4,10
PO-0112,WH-0003,SKU-0080,2024-03-15,2024-03-25,2024-02-19,2024-04-01,364,piece,56.31,20496.84,10
PO-0113,WH-0003,SKU-0035,2023-01-27,2023-02-07,2022-12-28,2023-04-08,64,piece,30.71,1965.44,11
PO-0114,WH-0003,SKU-0001,2023-11-13,2023-11-20,2023-11-01,2024-01-19,142,piece,42.61,6050.62,7
PO-0115,WH-0001,SKU-0004,2024-02-15,2024-02-18,2024-02-10,2024-02-25,96,piece,20.53,1970.88,3
PO-0116,WH-0003,SKU-0044,2024-01-21,2024-01-29,2024-01-06,2025-01-28,130,piece,48.76,6338.8,8
PO-0117,WH-0001,SKU-0077,2023-11-29,2023-12-13,2023-11-10,2023-12-20,93,piece,61.46,5715.78,14
PO-0118,WH-0002,SKU-0007,2023-06-11,2023-06-25,2023-05-22,2024-06-24,395,piece,7.99,3156.05,14
PO-0119,WH-0003,SKU-0057,2024-03-10,2024-03-19,2024-02-19,2024-04-18,262,piece,7.02,1839.24,9
PO-0120,WH-0003,SKU-0015,2023-04-27,2023-05-04,2023-04-13,2023-05-11,195,piece,27.91,5442.45,7
PO-0121,WH-0003,SKU-0040,2024-05-13,2024-05-23,2024-04-21,2024-11-19,73,piece,11.38,830.74,10
PO-0122,WH-0002,SKU-0039,2023-02-26,2023-02-28,2023-02-19,2024-02-28,158,piece,8.88,1403.04,2
PO-0123,WH-0001,SKU-0001,2023-10-24,2023-10-31,2023-10-20,2023-12-30,304,piece,40.49,12308.96,7
PO-0124,WH-0003,SKU-0030,2023-05-13,2023-05-21,2023-04-25,2023-06-04,306,piece,13.49,4127.94,8
PO-0125,WH-0001,SKU-0006,2023-12-29,2024-01-01,2023-12-16,2024-01-08,273,piece,60.3,16461.9,3
PO-0126,WH-0002,SKU-0074,2023-11-17,2023-11-28,2023-11-03,2023-12-28,257,piece,20.21,5193.97,11
PO-0127,WH-0003,SKU-0003,2023-10-24,2023-10-27,2023-10-11,2024-10-26,216,piece,39.42,8514.72,3
PO-0128,WH-0001,SKU-0047,2024-04-16,2024-04-29,2024-03-17,2024-05-06,95,piece,7.64,725.8,13
PO-0129,WH-0002,SKU-0052,2023-09-07,2023-09-15,2023-08-19,2023-10-15,318,piece,3.78,1202.04,8
PO-0130,WH-0001,SKU-0022,2023-12-14,2023-12-19,2023-12-03,2024-01-02,89,piece,4.75,422.75,5
PO-0131,WH-0003,SKU-0045,2024-06-27,2024-07-07,2024-06-20,2024-08-06,229,piece,86.69,19852.01,10
PO-0132,WH-0003,SKU-0019,2023-06-01,2023-06-06,2023-05-28,2023-07-06,181,piece,22.02,3985.62,5
PO-0133,WH-0003,SKU-0010,2023-06-06,2023-06-20,2023-05-12,2023-08-19,140,piece,22.32,3124.8,14
PO-0134,WH-0003,SKU-0073,2024-05-20,2024-05-29,2024-04-25,2024-06-12,439,piece,8.17,3586.63,9
PO-0135,WH-0003,SKU-0080,2024-08-01,2024-08-13,2024-07-11,2024-08-20,215,piece,60.99,13112.85,12
PO-0136,WH-0002,SKU-0009,2023-11-20,2023-11-24,2023-11-05,2023-12-08,290,piece,45.44,13177.6,4
PO-0137,WH-0002,SKU-0046,2023-10-09,2023-10-20,2023-10-07,2023-10-27,309,piece,14.65,4526.85,11
PO-0138,WH-0003,SKU-0048,2024-04-07,2024-04-09,2024-04-05,2024-06-08,475,piece,11.79,5600.25,2
PO-0139,WH-0003,SKU-0065,2023-04-03,2023-04-14,2023-03-14,2023-04-28,246,piece,7.74,1904.04,11
PO-0140,WH-0003,SKU-0074,2023-02-12,2023-02-21,2023-01-13,2023-03-23,383,piece,15.65,5993.95,9
PO-0141,WH-0002,SKU-0008,2024-05-02,2024-05-12,2024-04-27,2024-05-19,280,piece,29.39,8229.2,10
PO-0142,WH-0002,SKU-0023,2023-03-28,2023-04-07,2023-03-07,2023-06-06,70,piece,68.83,4818.1,10
PO-0143,WH-0002,SKU-0079,2024-03-25,2024-04-04,2024-03-08,2024-06-03,131,piece,4.42,579.02,10
PO-0144,WH-0003,SKU-0044,2024-02-01,2024-02-09,2024-01-07,2025-02-08,397,piece,54.4,21596.8,8
PO-0145,WH-0002,SKU-0013,2023-12-09,2023-12-12,2023-11-28,2023-12-26,335,piece,50.69,16981.15,3
PO-0146,WH-0001,SKU-0078,2023-09-16,2023-09-29,2023-08-19,2023-11-28,497,piece,43.32,21530.04,13
PO-0147,WH-0003,SKU-0045,2024-08-19,2024-08-31,2024-08-14,2024-09-30,208,piece,95.65,19895.2,12
PO-0148,WH-0003,SKU-0011,2024-02-06,2024-02-10,2024-01-17,2024-04-10,208,piece,13.49,2805.92,4
PO-0149,WH-0002,SKU-0068,2023-12-03,2023-12-07,2023-11-11,2024-02-05,97,piece,49.97,4847.09,4
PO-0150,WH-0001,SKU-0047,2024-06-04,2024-06-11,2024-06-03,2024-06-18,208,piece,6.68,1389.44,7
PO-0151,WH-0001,SKU-0025,2023-12-16,2023-12-30,2023-11-30,2024-06-27,165,piece,64.35,10617.75,14
PO-0152,WH-0003,SKU-0013,2023-03-21,2023-03-27,2023-02-21,2023-04-10,309,piece,52.75,16299.75,6
PO-0153,WH-0001,SKU-0044,2024-06-23,2024-06-25,2024-06-01,2025-06-25,498,piece,58.57,29167.86,2
PO-0154,WH-0003,SKU-0024,2024-01-21,2024-01-25,2024-01-15,2025-01-24,475,piece,28.09,13342.75,4
PO-0155,WH-0003,SKU-0006,2023-06-19,2023-07-02,2023-06-04,2023-07-09,260,piece,73.17,19024.2,13
PO-0156,WH-0002,SKU-0037,2023-09-01,2023-09-10,2023-08-12,2023-10-10,435,piece,58.13,25286.55,9
PO-0157,WH-0001,SKU-0040,2023-08-28,2023-09-07,2023-08-20,2024-03-05,464,piece,14.9,6913.6,10
PO-0158,WH-0002,SKU-0057,2024-01-12,2024-01-24,2023-12-24,2024-02-23,286,piece,8.89,2542.54,12
PO-0159,WH-0003,SKU-0021,2024-05-29,2024-06-08,2024-05-15,2024-06-22,468,piece,15.75,7371.0,10
PO-0160,WH-0001,SKU-0062,2023-05-22,2023-05-28,2023-05-20,2023-07-27,497,piece,24.15,12002.55,6
PO-0161,WH-0002,SKU-0011,2024-06-12,2024-06-15,2024-06-02,2024-08-14,440,piece,11.0,4840.0,3
PO-0162,WH-0001,SKU-0056,2024-06-09,2024-06-13,2024-05-13,2024-08-12,96,piece,15.92,1528.32,4
PO-0163,WH-0003,SKU-0004,2024-04-06,2024-04-13,2024-03-07,2024-04-20,262,piece,14.47,3791.14,7
PO-0164,WH-0002,SKU-0011,2024-01-18,2024-01-23,2024-01-05,2024-03-23,241,piece,11.4,2747.4,5
PO-0165,WH-0001,SKU-0043,2023-04-12,2023-04-25,2023-03-22,2024-04-24,455,piece,65.04,29593.2,13
PO-0166,WH-0002,SKU-0018,2023-10-21,2023-10-30,2023-09-28,2023-11-06,438,piece,51.3,22469.4,9
PO-0167,WH-0003,SKU-0033,2023-01-06,2023-01-09,2023-01-05,2023-01-23,160,piece,21.31,3409.6,3
PO-0168,WH-0001,SKU-0037,2024-06-24,2024-07-02,2024-06-20,2024-08-01,171,piece,47.05,8045.55,8
PO-0169,WH-0002,SKU-0080,2023-09-02,2023-09-10,2023-08-12,2023-09-17,284,piece,41.15,11686.6,8
PO-0170,WH-0001,SKU-0066,2024-07-02,2024-07-04,2024-06-11,2024-07-11,344,piece,68.61,23601.84,2
PO-0171,WH-0002,SKU-0079,2023-10-26,2023-11-03,2023-10-25,2024-01-02,230,piece,4.14,952.2,8
PO-0172,WH-0001,SKU-0011,2023-07-11,2023-07-23,2023-06-19,2023-09-21,318,piece,16.09,5116.62,12
PO-0173,WH-0002,SKU-0065,2024-06-22,2024-07-02,2024-06-05,2024-07-16,333,piece,6.08,2024.64,10
PO-0174,WH-0002,SKU-0048,2023-02-14,2023-02-26,2023-02-01,2023-04-27,179,piece,14.67,2625.93,12
PO-0175,WH-0002,SKU-0014,2023-03-11,2023-03-18,2023-03-03,2023-04-17,445,piece,10.36,4610.2,7
PO-0176,WH-0001,SKU-0070,2023-05-17,2023-05-19,2023-05-05,2023-05-26,223,piece,59.73,13319.79,2
PO-0177,WH-0003,SKU-0024,2024-04-20,2024-05-03,2024-04-04,2025-05-03,465,piece,21.25,9881.25,13
PO-0178,WH-0001,SKU-0026,2024-04-13,2024-04-15,2024-04-03,2024-04-22,72,piece,5.38,387.36,2
PO-0179,WH-0002,SKU-0051,2023-11-20,2023-11-26,2023-11-03,2024-05-24,467,piece,10.18,4754.06,6
PO-0180,WH-0001,SKU-0025,2023-02-07,2023-02-21,2023-01-17,2023-08-20,196,piece,48.44,9494.24,14
PO-0181,WH-0003,SKU-0048,2023-12-06,2023-12-12,2023-12-02,2024-02-10,273,piece,15.56,4247.88,6
PO-0182,WH-0002,SKU-0024,2024-03-26,2024-04-03,2024-03-15,2025-04-03,304,piece,28.08,8536.32,8
PO-0183,WH-0002,SKU-0011,2024-06-15,2024-06-21,2024-05-20,2024-08-20,422,piece,12.65,5338.3,6
PO-0184,WH-0003,SKU-0042,2023-07-04,2023-07-14,2023-06-24,2023-07-28,102,piece,6.3,642.6,10
PO-0185,WH-0003,SKU-0078,2023-10-30,2023-11-05,2023-10-15,2024-01-04,417,piece,50.15,20912.55,6
PO-0186,WH-0002,SKU-0006,2024-03-30,2024-04-06,2024-03-15,2024-04-13,422,piece,92.01,38828.22,7
PO-0187,WH-0002,SKU-0008,2024-03-21,2024-03-27,2024-02-29,2024-04-03,88,piece,39.18,3447.84,6
PO-0188,WH-0003,SKU-0021,2024-01-08,2024-01-18,2023-12-13,2024-02-01,65,piece,15.25,991.25,10
PO-0189,WH-0002,SKU-0009,2024-03-24,2024-03-26,2024-03-19,2024-04-09,170,piece,52.92,8996.4,2
PO-0190,WH-0002,SKU-0005,2024-01-06,2024-01-14,2023-12-18,2024-03-14,359,piece,30.25,10859.75,8
PO-0191,WH-0002,SKU-0010,2024-01-15,2024-01-22,2023-12-31,2024-03-22,343,piece,15.2,5213.6,7
PO-0192,WH-0001,SKU-0036,2024-02-12,2024-02-19,2024-01-22,2024-03-20,177,piece,22.4,3964.8,7
PO-0193,WH-0002,SKU-0050,2023-07-10,2023-07-19,2023-06-23,2024-07-18,337,piece,38.22,12880.14,9
PO-0194,WH-0002,SKU-0037,2024-04-01,2024-04-06,2024-03-12,2024-05-06,405,piece,62.28,25223.4,5
PO-0195,WH-0003,SKU-0010,2023-07-24,2023-07-27,2023-07-19,2023-09-25,281,piece,15.51,4358.31,3
PO-0196,WH-0001,SKU-0041,2024-03-31,2024-04-03,2024-03-05,2024-06-02,391,piece,48.2,18846.2,3
PO-0197,WH-0003,SKU-0039,2024-07-17,2024-07-27,2024-07-07,2025-07-27,485,piece,6.59,3196.15,10
PO-0198,WH-0001,SKU-0066,2023-06-28,2023-07-12,2023-06-16,2023-07-19,164,piece,64.12,10515.68,14
PO-0199,WH-0003,SKU-0064,2023-05-23,2023-05-28,2023-04-27,2023-06-04,63,piece,73.04,4601.52,5
PO-0200,WH-0001,SKU-0071,2024-01-13,2024-01-22,2023-12-18,2024-02-05,116,piece,49.22,5709.52,9
PO-0201,WH-0002,SKU-0062,2023-03-09,2023-03-15,2023-02-24,2023-05-14,319,piece,24.63,7856.97,6
PO-0202,WH-0002,SKU-0041,2024-08-11,2024-08-14,2024-08-06,2024-10-13,378,piece,41.44,15664.32,3
PO-0203,WH-0001,SKU-0071,2024-06-13,2024-06-20,2024-06-08,2024-07-04,377,piece,48.68,18352.36,7
PO-0204,WH-0001,SKU-0008,2024-03-19,2024-03-29,2024-02-18,2024-04-05,475,piece,29.74,14126.5,10
PO-0205,WH-0003,SKU-0042,2023-11-08,2023-11-12,2023-11-02,2023-11-26,413,piece,6.85,2829.05,4
PO-0206,WH-0002,SKU-0026,2023-10-18,2023-10-21,2023-10-09,2023-10-28,375,piece,5.75,2156.25,3
PO-0207,WH-0003,SKU-0079,2023-05-09,2023-05-21,2023-04-29,2023-07-20,323,piece,3.81,1230.63,12
PO-0208,WH-0003,SKU-0020,2023-06-22,2023-07-03,2023-06-03,2023-07-10,137,piece,8.47,1160.39,11
PO-0209,WH-0003,SKU-0004,2023-12-12,2023-12-23,2023-12-10,2023-12-30,91,piece,14.4,1310.4,11
PO-0210,WH-0003,SKU-0027,2024-08-13,2024-08-19,2024-07-23,2024-08-26,442,piece,80.91,35762.22,6
PO-0211,WH-0002,SKU-0070,2023-02-01,2023-02-10,2023-01-03,2023-02-17,198,piece,55.49,10987.02,9
PO-0212,WH-0003,SKU-0052,2024-05-09,2024-05-14,2024-04-13,2024-06-13,202,piece,4.62,933.24,5
PO-0213,WH-0002,SKU-0054,2023-03-03,2023-03-07,2023-02-16,2023-05-06,297,piece,7.74,2298.78,4
PO-0214,WH-0002,SKU-0041,2023-05-28,2023-06-04,2023-04-30,2023-08-03,425,piece,64.05,27221.25,7
PO-0215,WH-0002,SKU-0048,2024-02-13,2024-02-17,2024-01-19,2024-04-17,313,piece,13.51,4228.63,4
PO-0216,WH-0001,SKU-0035,2023-09-05,2023-09-14,2023-09-01,2023-11-13,280,piece,31.88,8926.4,9
PO-0217,WH-0001,SKU-0079,2023-02-21,2023-02-27,2023-02-08,2023-04-28,264,piece,4.16,1098.24,6
PO-0218,WH-0002,SKU-0041,2023-12-02,2023-12-13,2023-11-08,2024-02-11,147,piece,58.49,8598.03,11
PO-0219,WH-0002,SKU-0040,2024-06-11,2024-06-20,2024-05-26,2024-12-17,304,piece,10.14,3082.56,9
PO-0220,WH-0001,SKU-0028,2024-06-01,2024-06-10,2024-05-24,2024-07-10,348,piece,9.28,3229.44,9
